CUSTOMER_ID,AGE,OCCUPATION,GENDER,FAMILY_SIZE,DURATION_OF_STAY,PACKAGE_CHOSEN
200000,41.0,1,1,3,6.0,Deluxe
200001,49.0,1,0,3,14.0,Deluxe
200002,37.0,0,0,3,8.0,Basic
200003,33.0,1,1,2,9.0,Basic
200004,37.62226512226512,2,0,2,8.0,Basic
200005,32.0,1,0,3,8.0,Basic
200006,59.0,2,1,2,9.0,Basic
200007,30.0,1,0,3,30.0,Basic
200008,38.0,1,0,2,29.0,Standard
200009,36.0,2,0,3,33.0,Deluxe
200010,35.0,2,0,2,22.0,Basic
200011,37.62226512226512,1,1,2,21.0,Deluxe
200012,31.0,1,0,2,32.0,Basic
200013,34.0,2,0,3,25.0,Basic
200014,28.0,1,0,2,30.0,Basic
200015,29.0,1,1,2,27.0,Standard
200016,32.0,1,0,3,11.0,Basic
200017,22.0,2,0,3,22.0,Basic
200018,53.0,1,1,3,8.0,Super Deluxe
200019,37.62226512226512,1,0,2,8.0,Basic
200020,37.62226512226512,1,1,3,17.0,Deluxe
200021,37.62226512226512,1,0,2,15.0,Deluxe
200022,34.0,1,1,2,13.0,Standard
200023,21.0,1,0,3,21.0,Basic
200024,34.0,2,0,2,12.0,Basic
200025,53.0,1,1,2,11.0,King
200026,37.62226512226512,1,1,3,22.0,Basic
200027,42.0,2,0,2,14.0,Deluxe
200028,44.0,2,1,2,13.0,Standard
200029,46.0,2,1,2,8.0,King
200030,33.0,2,0,3,8.0,Basic
200031,44.0,1,0,2,16.0,Deluxe
200032,30.0,2,0,2,15.0,Basic
200033,39.0,3,0,2,11.0,Deluxe
200034,24.0,2,0,3,6.0,Basic
200035,43.0,2,1,3,8.0,Basic
200036,50.0,2,0,2,9.0,Basic
200037,35.0,2,1,3,8.0,Basic
200038,36.0,1,1,2,11.0,Basic
200039,33.0,1,1,2,6.0,Deluxe
200040,35.0,1,0,3,10.0,Basic
200041,27.0,1,1,2,8.0,Basic
200042,26.0,1,0,2,31.0,Basic
200043,27.0,1,0,2,14.0,Standard
200044,37.62226512226512,2,1,2,6.0,Deluxe
200045,41.0,3,1,2,18.0,King
200046,34.0,2,0,3,15.490834591330602,Deluxe
200047,37.0,1,0,3,25.0,Basic
200048,46.0,2,0,3,11.0,Deluxe
200049,35.0,1,0,2,14.0,Basic
200050,48.0,1,0,3,6.0,Standard
200051,37.62226512226512,3,0,2,11.0,Basic
200052,44.0,2,1,3,6.0,Deluxe
200053,35.0,2,0,3,17.0,Standard
200054,37.62226512226512,2,1,2,29.0,Deluxe
200055,33.0,1,1,3,6.0,Standard
200056,35.0,1,0,3,24.0,Standard
200057,37.62226512226512,2,1,1,29.0,Basic
200058,31.0,1,0,2,13.0,Deluxe
200059,37.0,1,0,2,6.0,Deluxe
200060,32.0,2,0,2,6.0,Deluxe
200061,38.0,1,1,2,35.0,Deluxe
200062,50.0,2,1,2,13.0,King
200063,59.0,1,1,2,31.0,Standard
200064,36.0,3,1,2,14.0,Standard
200065,55.0,2,1,2,14.0,Super Deluxe
200066,36.0,1,0,3,17.0,Deluxe
200067,45.0,1,0,2,13.0,Standard
200068,35.0,2,0,3,6.0,Basic
200069,37.62226512226512,2,0,3,15.0,Basic
200070,59.0,1,1,2,6.0,Deluxe
200071,29.0,1,0,3,8.0,Basic
200072,31.0,2,0,2,6.0,Basic
200073,32.0,1,0,3,6.0,Deluxe
200074,36.0,1,1,2,12.0,Deluxe
200075,31.0,1,1,3,15.490834591330602,Deluxe
200076,35.0,2,0,2,15.490834591330602,Deluxe
200077,45.0,1,0,2,12.0,Standard
200078,37.0,2,0,1,13.0,Standard
200079,46.0,2,0,3,11.0,Deluxe
200080,30.0,1,0,2,6.0,Deluxe
200081,35.0,2,0,1,6.0,Basic
200082,55.0,1,0,3,6.0,Standard
200083,38.0,2,1,3,12.0,Deluxe
200084,34.0,2,0,3,15.490834591330602,Deluxe
200085,56.0,1,0,2,13.0,Standard
200086,23.0,3,0,3,8.0,Basic
200087,51.0,1,0,3,15.0,Basic
200088,37.62226512226512,1,0,2,8.0,Deluxe
200089,46.0,2,0,3,15.0,Standard
200090,40.0,1,0,3,6.0,Super Deluxe
200091,51.0,2,0,3,27.0,Deluxe
200092,30.0,2,1,3,10.0,Deluxe
200093,46.0,2,0,2,6.0,Standard
200094,32.0,2,0,2,12.0,Deluxe
200095,54.0,3,1,2,8.0,Standard
200096,24.0,1,1,2,9.0,Deluxe
200097,37.62226512226512,2,0,2,10.0,Deluxe
200098,58.0,2,0,2,16.0,Super Deluxe
200099,44.0,2,0,3,29.0,Deluxe
200100,37.0,1,0,3,12.0,Basic
200101,32.0,1,0,3,6.0,Basic
200102,20.0,1,1,3,12.0,Basic
200103,34.0,1,1,2,15.490834591330602,Deluxe
200104,37.0,1,0,3,8.0,Deluxe
200105,59.0,1,1,2,8.0,King
200106,50.0,1,1,3,6.0,King
200107,25.0,2,0,2,11.0,Deluxe
200108,25.0,2,0,3,13.0,Basic
200109,22.0,2,1,2,21.0,Basic
200110,51.0,2,1,1,6.0,Standard
200111,34.0,1,0,3,13.0,Deluxe
200112,54.0,1,1,1,32.0,Super Deluxe
200113,24.0,1,0,2,24.0,Basic
200114,34.0,1,1,2,15.490834591330602,Deluxe
200115,37.0,1,0,2,9.0,Standard
200116,34.0,2,1,2,11.0,Standard
200117,36.0,3,1,3,17.0,Standard
200118,36.0,1,1,2,9.0,Basic
200119,43.0,1,0,3,32.0,Super Deluxe
200120,30.0,1,0,3,29.0,Basic
200121,33.0,2,0,3,28.0,Deluxe
200122,56.0,1,1,3,20.0,Basic
200123,51.0,1,0,2,12.0,King
200124,31.0,1,0,3,12.0,Deluxe
200125,26.0,1,1,2,12.0,Basic
200126,58.0,2,1,3,29.0,Standard
200127,19.0,2,0,2,28.0,Basic
200128,22.0,3,0,3,8.0,Basic
200129,49.0,2,1,3,26.0,Deluxe
200130,43.0,2,1,3,15.490834591330602,Basic
200131,50.0,2,1,3,18.0,Standard
200132,31.0,1,1,3,15.490834591330602,Deluxe
200133,41.0,1,0,3,15.0,Standard
200134,26.0,1,1,3,31.0,Basic
200135,36.0,2,0,2,12.0,Deluxe
200136,51.0,1,0,2,14.0,Standard
200137,39.0,1,1,2,10.0,Deluxe
200138,25.0,1,0,2,34.0,Deluxe
200139,30.0,1,0,2,15.0,Deluxe
200140,37.62226512226512,2,1,2,15.0,Basic
200141,37.62226512226512,2,0,2,35.0,Basic
200142,38.0,3,1,2,9.0,Deluxe
