CUSTOMER_ID,AGE,OCCUPATION,GENDER,FAMILY_SIZE,DURATION_OF_STAY
202200,30.0,Salaried,Female,3,14.0
201416,38.0,Salaried,Male,2,
203458,32.0,Salaried,Female,4,15.0
200084,34.0,Small Business,Male,3,
203199,46.0,Salaried,Female,3,18.0
201852,26.0,Large Business,Male,3,9.0
204460,30.0,Salaried,Male,4,17.0
201049,30.0,Salaried,Male,3,22.0
200962,51.0,Salaried,Male,2,11.0
201624,32.0,Small Business,Fe Male,2,14.0
204534,36.0,Small Business,Female,3,34.0
202392,44.0,Salaried,Male,3,15.0
204179,30.0,Small Business,Male,4,9.0
204075,28.0,Small Business,Male,3,16.0
200944,28.0,Salaried,Female,2,6.0
203153,32.0,Small Business,Male,3,16.0
202258,37.62226512226512,Salaried,Female,2,16.0
203523,40.0,Salaried,Fe Male,3,13.0
200416,38.0,Salaried,Male,2,8.0
204867,45.0,Salaried,Male,3,8.0
200906,34.0,Large Business,Female,2,26.0
203361,35.0,Small Business,Female,3,9.0
200150,40.0,Small Business,Female,2,32.0
202316,35.0,Salaried,Male,2,8.0
200116,34.0,Small Business,Fe Male,2,11.0
200675,31.0,Salaried,Male,2,13.0
200501,30.0,Small Business,Female,3,9.0
204491,38.0,Salaried,Female,3,17.0
200479,24.0,Salaried,Female,2,13.0
203327,34.0,Small Business,Male,3,16.0
201862,54.0,Small Business,Male,2,11.0
200700,58.0,Large Business,Male,2,8.0
203290,36.0,Salaried,Male,3,9.0
200300,41.0,Salaried,Male,2,8.0
202040,52.0,Small Business,Male,2,
201075,32.0,Small Business,Male,1,16.0
201009,58.0,Small Business,Female,3,6.0
200053,35.0,Small Business,Male,3,17.0
201507,35.0,Small Business,Female,3,8.0
201192,49.0,Small Business,Female,3,22.0
202889,56.0,Salaried,Female,3,25.0
204131,30.0,Large Business,Male,3,7.0
202329,29.0,Salaried,Female,3,21.0
200382,26.0,Large Business,Male,3,9.0
200833,27.0,Salaried,Male,2,12.0
201476,59.0,Small Business,Female,2,9.0
200260,32.0,Salaried,Male,3,13.0
202919,27.0,Small Business,Male,4,35.0
204755,25.0,Small Business,Male,3,31.0
202182,37.62226512226512,Salaried,Female,2,19.0
201964,34.0,Large Business,Female,2,20.0
201105,33.0,Salaried,Male,2,14.0
202579,37.0,Small Business,Male,3,13.0
201884,24.0,Large Business,Female,3,6.0
201253,33.0,Small Business,Female,3,8.0
200484,31.0,Small Business,Male,3,12.0
200507,29.0,Small Business,Female,3,9.0
200831,31.0,Small Business,Male,3,21.0
200599,36.0,Salaried,Male,2,19.0
204738,43.0,Small Business,Male,3,36.0
200327,39.0,Small Business,Female,2,9.0
203210,51.0,Small Business,Male,4,9.0
200175,56.0,Salaried,Female,3,
204154,40.0,Small Business,Female,4,7.0
204608,34.0,Salaried,Fe Male,3,7.0
201969,33.0,Small Business,Male,2,14.0
202284,40.0,Small Business,Male,2,20.0
202684,40.0,Small Business,Female,4,7.0
201387,29.0,Salaried,Male,2,6.0
200424,57.0,Small Business,Male,2,35.0
202055,23.0,Salaried,Male,3,12.0
201511,27.0,Salaried,Female,2,8.0
201285,46.0,Salaried,Male,3,32.0
200602,30.0,Small Business,Female,2,8.0
202912,53.0,Large Business,Male,4,13.0
203344,37.0,Large Business,Male,3,10.0
202407,39.0,Salaried,Female,3,8.0
203521,30.0,Large Business,Male,4,7.0
203437,26.0,Salaried,Male,4,25.0
201098,37.62226512226512,Salaried,Male,3,14.0
